"#Indicate if it is a testcase here by putting ""Testcase""",AI Movement Points,Ai Hit points,AI melee attack damage,Ai movement speed,Player movement points,player hit points,player melee attack dmg,player ranged attack dmg,player minimum distance for ranged attack,player maximum range for ranged attack,player movement speed,map size,wall chance,number of enemies,Number of times to run,output file name
3Testcase,1,20,10,50,2,100,10,10,1,3,10,5,0.5,3,50,map_size_5_wall_chance_05.txt
#Testcase,1,20,10,50,2,100,10,10,1,3,10,5,0.3,3,50,map_size_5_wall_chance_03.txt
#Testcase,1,20,10,50,2,100,10,10,1,3,10,5,0.4,3,50,map_size_5_wall_chance_04.txt
#Testcase,1,20,10,50,2,100,10,10,1,3,10,5,0.2,3,50,map_size_5_wall_chance_02.txt
#Testcase,1,20,10,50,2,100,10,10,1,3,10,5,0.0,3,50,map_size_5_wall_chance_0.txt
#Testcase,1,20,10,50,2,100,10,10,1,3,10,6,0.3,3,50,map_size_6_wall_chance_03.txt
#Testcase,1,20,10,50,2,100,10,10,1,3,10,6,0.1,3,50,map_size_6_wall_chance_01.txt
#Testcase,1,20,10,50,2,100,10,10,1,3,10,6,0.4,3,50,map_size_6_wall_chance_04.txt
#Testcase,1,20,10,50,2,100,10,10,1,3,10,6,0.2,3,50,map_size_6_wall_chance_02.txt
#Testcase,1,20,10,50,2,100,10,10,1,3,10,6,0.0,3,50,map_size_6_wall_chance_0.txt
#Testcase,1,20,10,50,2,100,10,10,1,3,10,4,0.3,3,50,map_size_4_wall_chance_03.txt
#Testcase,1,20,10,50,2,100,10,10,1,3,10,4,0.1,3,50,map_size_4_wall_chance_01.txt
#Testcase,1,20,10,50,2,100,10,10,1,3,10,4,0.4,3,50,map_size_4_wall_chance_04.txt
#Testcase,1,20,10,50,2,100,10,10,1,3,10,4,0.2,3,50,map_size_4_wall_chance_02.txt
#Testcase,1,20,10,50,2,100,10,10,1,3,10,4,0.0,3,50,map_size_4_wall_chance_0.txt
#Testca4se,1,20,10,50,2,100,10,10,1,3,10,6,0.5,3,50,map_size_6_wall_chance_05.txt
#Testcase,1,20,10,50,2,100,10,10,1,3,10,4,0.5,3,50,map_size_4_wall_chance_05.txt
Test4case,1,20,10,50,2,100,10,10,1,3,10,5,0.1,3,50,map_size_5_wall_chance_01.txt
#Testcase,1,20,10,50,2,100,10,10,1,3,10,3,0.3,3,50,map_size_3_wall_chance_03.txt
#Testcase,1,20,10,50,2,100,10,10,1,3,10,3,0.1,3,50,map_size_3_wall_chance_01.txt
#Testcase,1,20,10,50,2,100,10,10,1,3,10,3,0.4,3,50,map_size_3_wall_chance_04.txt
#Testcase,1,20,10,50,2,100,10,10,1,3,10,3,0.2,3,50,map_size_3_wall_chance_02.txt
#Testcase,1,20,10,50,2,100,10,10,1,3,10,3,0.0,3,50,map_size_3_wall_chance_0.txt
#Testcase,1,20,10,50,2,100,10,10,1,3,10,3,0.5,3,50,map_size_3_wall_chance_05.txt
Tes4tcase,1,20,10,50,2,100,10,10,1,3,10,7,0.3,3,50,map_size_7_wall_chance_03.txt
Te4stcase,1,20,10,50,2,100,10,10,1,3,10,7,0.1,3,50,map_size_7_wall_chance_01.txt
T$estcase,1,20,10,50,2,100,10,10,1,3,10,7,0.4,3,50,map_size_7_wall_chance_04.txt
$Testcase,1,20,10,50,2,100,10,10,1,3,10,7,0.2,3,50,map_size_7_wall_chance_02.txt
$Testcase,1,20,10,50,2,100,10,10,1,3,10,7,0.0,3,50,map_size_7_wall_chance_0.txt
$Testcase,1,20,10,50,2,100,10,10,1,3,10,7,0.1,3,50,map_size_7_wall_chance_01.txt
Testcase,1,20,10,50,2,100,10,10,1,3,10,7,0.5,3,50,map_size_7_wall_chance_05.txt
